gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSG00000002016.16	ENST00000228345.9,ENST00000358495.7,ENST00000397230.6,ENST00000430095.6,ENST00000461568.5,ENST00000463750.5,ENST00000468231.5,ENST00000481052.5,ENST00000488642.6,ENST00000535376.5,ENST00000536177.5,ENST00000539046.5,ENST00000541619.1,ENST00000542297.1,ENST00000542584.5,ENST00000542785.5,ENST00000543912.5,ENST00000544742.5,ENST00000545564.5,ENST00000545967.1	1679.98	1420.55	698.00	0.35	3.65
ENSG00000002079.12	ENST00000413734.1,ENST00000425880.1,ENST00000429079.1,ENST00000439784.5,ENST00000452010.1,ENST00000453194.1,ENST00000453378.1	1366.43	1107.05	0.00	0.00	0.00
ENSG00000002330.13	ENST00000309032.7,ENST00000394531.3,ENST00000394532.7,ENST00000492141.1,ENST00000493798.1,ENST00000544271.1,ENST00000544785.1	921.05	661.60	1395.00	1.49	15.68
ENSG00000002549.12	ENST00000226299.8,ENST00000503467.1,ENST00000504614.5,ENST00000507960.1,ENST00000508014.5,ENST00000508497.5,ENST00000509583.1,ENST00000512397.1,ENST00000513105.1,ENST00000606142.5,ENST00000618908.4	1396.06	1136.62	3511.00	2.19	22.97
ENSG00000002586.18	ENST00000381177.6,ENST00000381180.8,ENST00000381184.6,ENST00000381187.8,ENST00000381192.8,ENST00000449611.6,ENST00000482293.6,ENST00000482405.7,ENST00000497752.6,ENST00000611428.5,ENST00000623253.4,ENST00000624481.4	1071.21	811.76	6716.00	5.86	61.53
ENSG00000002587.9	ENST00000002596.5,ENST00000510712.1,ENST00000514690.5	3006.00	2746.59	0.00	0.00	0.00
ENSG00000002726.19	ENST00000360937.8,ENST00000416793.6,ENST00000460213.1,ENST00000467291.5,ENST00000480582.1,ENST00000483043.1,ENST00000493429.5,ENST00000619575.1,ENST00000622116.4	2121.89	1862.43	0.00	0.00	0.00
ENSG00000002745.12	ENST00000222462.2,ENST00000361301.6	3147.00	2887.54	6.00	0.00	0.02
ENSG00000002746.14	ENST00000395891.6,ENST00000429529.1,ENST00000453890.5,ENST00000461842.1,ENST00000464944.1,ENST00000471043.1,ENST00000471527.1,ENST00000481031.5,ENST00000490954.2,ENST00000492310.5,ENST00000493057.1	1454.46	1195.04	71.00	0.04	0.44
ENSG00000002822.15	ENST00000265854.11,ENST00000399654.6,ENST00000402746.5,ENST00000406869.5,ENST00000421113.5,ENST00000429625.5,ENST00000429779.1,ENST00000437877.1,ENST00000438959.5,ENST00000444373.6,ENST00000445959.5,ENST00000450235.5,ENST00000455998.5,ENST00000459731.1,ENST00000464742.5,ENST00000468372.5,ENST00000469871.1,ENST00000477172.1,ENST00000481633.1,ENST00000483165.5,ENST00000486340.5,ENST00000491858.5,ENST00000496548.1	1783.03	1523.59	2188.00	1.02	10.68
ENSG00000002834.17	ENST00000318008.10,ENST00000419929.1,ENST00000433206.6,ENST00000435347.7,ENST00000443937.7,ENST00000579123.1,ENST00000581485.1,ENST00000584106.1,ENST00000585841.5	3045.49	2786.03	43352.00	11.02	115.73
ENSG00000002919.14	ENST00000359238.6,ENST00000393405.6,ENST00000452859.6,ENST00000577310.1,ENST00000578861.5,ENST00000580219.5,ENST00000580875.1,ENST00000581298.5,ENST00000581705.5,ENST00000582104.5,ENST00000582481.1,ENST00000583320.5,ENST00000584335.5	1683.83	1424.42	888.00	0.44	4.64
